"자형","코드",,,,,,,,
,,"대표음1","대표음2","대표음3","대표음4","대표음5","대표음6",,
"櫳","U+6AF3","롱","농",,,,,,
"櫴","U+6AF4","뢰","뇌",,,,,,
"櫵","U+6AF5","초",,,,,,,
"櫶","U+6AF6","헌",,,,,,,
"櫷","U+6AF7","귀",,,,,,,
"櫸","U+6AF8","거",,,,,,,
"櫹","U+6AF9","소",,,,,,,
"櫺","U+6AFA","령","영",,,,,,
"櫻","U+6AFB","앵",,,,,,,
"櫼","U+6AFC","첨",,,,,,,
"櫽","U+6AFD","은",,,,,,,
"櫾","U+6AFE","유",,,,,,,
"櫿","U+6AFF","영",,,,,,,
"欀","U+6B00","양","상",,,,,,
"欁","U+6B01","농",,,,,,,
"欂","U+6B02","박",,,,,,,
"欃","U+6B03","참",,,,,,,
"欄","U+6B04","란","난",,,,,,
"欅","U+6B05","거",,,,,,,
"欆","U+6B06","쌍",,,,,,,
"欇","U+6B07","섭",,,,,,,
"欈","U+6B08","취",,,,,,,
"欉","U+6B09","총",,,,,,,
"權","U+6B0A","권",,,,,,,
"欋","U+6B0B","구",,,,,,,
"欌","U+6B0C","장",,,,,,,
"欍","U+6B0D","구",,,,,,,
"欎","U+6B0E","울",,,,,,,
"欏","U+6B0F","라","나",,,,,,
"欐","U+6B10","려","여",,,,,,
"欑","U+6B11","찬",,,,,,,
"欒","U+6B12","란","난",,,,,,
"欓","U+6B13","당",,,,,,,
"欔","U+6B14","곽",,,,,,,
"欕","U+6B15","엄",,,,,,,
"欖","U+6B16","람","남",,,,,,
"欗","U+6B17","란","난",,,,,,
"欘","U+6B18","촉","촉",,,,,,
"欙","U+6B19","류","유",,,,,,
"欚","U+6B1A","례","예",,,,,,
"欛","U+6B1B","파",,,,,,,
"欜","U+6B1C","낭",,,,,,,
"欝","U+6B1D","울",,,,,,,
"欞","U+6B1E","령","영",,,,,,
"欟","U+6B1F","관",,,,,,,
"欠","U+6B20","흠",,,,,,,
"次","U+6B21","차",,,,,,,
"欢","U+6B22","환",,,,,,,
"欣","U+6B23","흔",,,,,,,
"欤","U+6B24","여",,,,,,,
"欥","U+6B25","일",,,,,,,
"欦","U+6B26","함",,,,,,,
"欧","U+6B27","구",,,,,,,
"欨","U+6B28","구",,,,,,,
"欩","U+6B29","초",,,,,,,
"欪","U+6B2A","출",,,,,,,
"欫","U+6B2B","격",,,,,,,
"欬","U+6B2C","해","애",,,,,,
"欭","U+6B2D","이","인",,,,,,
"欮","U+6B2E","궐",,,,,,,
"欯","U+6B2F","힐",,,,,,,
"欰","U+6B30","술",,,,,,,
"欱","U+6B31","합",,,,,,,
"欲","U+6B32","욕",,,,,,,
"欳","U+6B33","괴",,,,,,,
"欴","U+6B34","랑","낭",,,,,,
"欵","U+6B35","관",,,,,,,
"欶","U+6B36","수","삭",,,,,,
"欷","U+6B37","희",,,,,,,
"欸","U+6B38","애",,,,,,,
"欹","U+6B39","의",,,,,,,
"欺","U+6B3A","기",,,,,,,
"欻","U+6B3B","훌",,,,,,,
"欼","U+6B3C","최","치",,,,,,
"欽","U+6B3D","흠",,,,,,,
"款","U+6B3E","관",,,,,,,
"欿","U+6B3F","감","함",,,,,,
"歀","U+6B40","관",,,,,,,
"歁","U+6B41","감",,,,,,,
"歂","U+6B42","천",,,,,,,
"歃","U+6B43","삽",,,,,,,
"歄","U+6B44","과",,,,,,,
"歅","U+6B45","인",,,,,,,
"歆","U+6B46","흠",,,,,,,
"歇","U+6B47","헐",,,,,,,
"歈","U+6B48","유",,,,,,,
"歉","U+6B49","겸","감",,,,,,
"歊","U+6B4A","효",,,,,,,
"歋","U+6B4B","이",,,,,,,
"歌","U+6B4C","가",,,,,,,
"歍","U+6B4D","오",,,,,,,
"歎","U+6B4E","탄",,,,,,,
"歏","U+6B4F","근",,,,,,,
"歐","U+6B50","구",,,,,,,
"歑","U+6B51","호",,,,,,,
"歒","U+6B52","적",,,,,,,
"歓","U+6B53","환",,,,,,,
"歔","U+6B54","허",,,,,,,
"歕","U+6B55","분",,,,,,,
"歖","U+6B56","희",,,,,,,
"歗","U+6B57","소",,,,,,,
"歘","U+6B58","훌",,,,,,,
"歙","U+6B59","흡",,,,,,,
"歚","U+6B5A","선",,,,,,,
"歛","U+6B5B","감","검",,,,,,
"歜","U+6B5C","촉",,,,,,,
"歝","U+6B5D","역",,,,,,,
"歞","U+6B5E","읍",,,,,,,
"歟","U+6B5F","여",,,,,,,
"歠","U+6B60","철",,,,,,,
"歡","U+6B61","환",,,,,,,
"止","U+6B62","지",,,,,,,
"正","U+6B63","정",,,,,,,
"此","U+6B64","차",,,,,,,
"步","U+6B65","보",,,,,,,
"武","U+6B66","무",,,,,,,
"歧","U+6B67","기",,,,,,,
"歨","U+6B68","보",,,,,,,
"歩","U+6B69","보",,,,,,,
"歪","U+6B6A","왜",,,,,,,
"歫","U+6B6B","거",,,,,,,
"歬","U+6B6C","전",,,,,,,
"歭","U+6B6D","치",,,,,,,
"歮","U+6B6E","색",,,,,,,
"歯","U+6B6F","치",,,,,,,
"歰","U+6B70","삽",,,,,,,
"歱","U+6B71","종",,,,,,,
"歲","U+6B72","세",,,,,,,
"歳","U+6B73","세",,,,,,,
"歴","U+6B74","력","역",,,,,,
"歵","U+6B75","책",,,,,,,
"歶","U+6B76","우",,,,,,,
"歷","U+6B77","력","역",,,,,,
"歸","U+6B78","귀",,,,,,,
"歹","U+6B79","알",,,,,,,
"歺","U+6B7A","알",,,,,,,
"死","U+6B7B","사",,,,,,,
"歼","U+6B7C","섬",,,,,,,
"歽","U+6B7D","절",,,,,,,
"歾","U+6B7E","몰","홀","문",,,,,
"歿","U+6B7F","몰",,,,,,,
"殀","U+6B80","요",,,,,,,
"殁","U+6B81","몰",,,,,,,
"殂","U+6B82","조",,,,,,,
"殃","U+6B83","앙",,,,,,,
"殄","U+6B84","진",,,,,,,
"殅","U+6B85","생",,,,,,,
"殆","U+6B86","태",,,,,,,
"殇","U+6B87","상",,,,,,,
"殈","U+6B88","혁",,,,,,,
"殉","U+6B89","순",,,,,,,
"殊","U+6B8A","수",,,,,,,
"残","U+6B8B","잔",,,,,,,
"殌","U+6B8C","경","결",,,,,,
"殍","U+6B8D","표",,,,,,,
"殎","U+6B8E","겹",,,,,,,
"殏","U+6B8F","구",,,,,,,
"殐","U+6B90","속",,,,,,,
"殑","U+6B91","긍",,,,,,,
"殒","U+6B92","운",,,,,,,
"殓","U+6B93","렴","염",,,,,,
"殔","U+6B94","이",,,,,,,
"殕","U+6B95","부","복","무",,,,,
"殖","U+6B96","식",,,,,,,
"殗","U+6B97","업",,,,,,,
"殘","U+6B98","잔",,,,,,,
"殙","U+6B99","혼",,,,,,,
"殚","U+6B9A","탄",,,,,,,
"殛","U+6B9B","극",,,,,,,
"殜","U+6B9C","엽",,,,,,,
"殝","U+6B9D","진",,,,,,,
"殞","U+6B9E","운",,,,,,,
"殟","U+6B9F","온","올",,,,,,
"殠","U+6BA0","추",,,,,,,
"殡","U+6BA1","빈",,,,,,,
"殢","U+6BA2","체","혜",,,,,,
"殣","U+6BA3","근",,,,,,,
"殤","U+6BA4","상",,,,,,,
"殥","U+6BA5","인",,,,,,,
"殦","U+6BA6","조",,,,,,,
"殧","U+6BA7","축",,,,,,,
"殨","U+6BA8","궤",,,,,,,
"殩","U+6BA9","찬",,,,,,,
"殪","U+6BAA","에",,,,,,,
"殫","U+6BAB","탄",,,,,,,
"殬","U+6BAC","투",,,,,,,
"殭","U+6BAD","강",,,,,,,
"殮","U+6BAE","렴","염",,,,,,
"殯","U+6BAF","빈",,,,,,,
"殰","U+6BB0","독",,,,,,,
"殱","U+6BB1","섬",,,,,,,
"殲","U+6BB2","섬",,,,,,,
"殳","U+6BB3","수",,,,,,,
"殴","U+6BB4","구",,,,,,,
"段","U+6BB5","단",,,,,,,
"殶","U+6BB6","주",,,,,,,
"殷","U+6BB7","은",,,,,,,
"殸","U+6BB8","성",,,,,,,
"殹","U+6BB9","예",,,,,,,
"殺","U+6BBA","살","쇄",,,,,,
"殻","U+6BBB","각",,,,,,,
"殼","U+6BBC","각",,,,,,,
"殽","U+6BBD","효",,,,,,,
"殾","U+6BBE","준",,,,,,,
"殿","U+6BBF","전",,,,,,,
"毀","U+6BC0","훼",,,,,,,
"毁","U+6BC1","훼",,,,,,,
"毂","U+6BC2","곡",,,,,,,
"毃","U+6BC3","각",,,,,,,
"毄","U+6BC4","격",,,,,,,
"毅","U+6BC5","의",,,,,,,
"毆","U+6BC6","구",,,,,,,
"毇","U+6BC7","훼",,,,,,,
"毈","U+6BC8","단",,,,,,,
"毉","U+6BC9","의",,,,,,,
"毊","U+6BCA","효",,,,,,,
"毋","U+6BCB","무",,,,,,,
"毌","U+6BCC","관",,,,,,,
"母","U+6BCD","모",,,,,,,
"毎","U+6BCE","매",,,,,,,
"每","U+6BCF","매",,,,,,,
"毐","U+6BD0","애",,,,,,,
"毑","U+6BD1","저","자",,,,,,
"毒","U+6BD2","독",,,,,,,
"毓","U+6BD3","육",,,,,,,
"比","U+6BD4","비",,,,,,,
"毕","U+6BD5","필",,,,,,,
"毖","U+6BD6","비",,,,,,,
"毗","U+6BD7","비",,,,,,,
"毘","U+6BD8","비",,,,,,,
"毙","U+6BD9","폐",,,,,,,
"毚","U+6BDA","참",,,,,,,
"毛","U+6BDB","모",,,,,,,
"毜","U+6BDC","소",,,,,,,
"毝","U+6BDD","삼",,,,,,,
"毞","U+6BDE","비",,,,,,,
"毟","U+6BDF","모",,,,,,,
"毠","U+6BE0","가",,,,,,,
"毡","U+6BE1","전",,,,,,,
"毢","U+6BE2","시",,,,,,,
"毣","U+6BE3","목",,,,,,,
"毤","U+6BE4","타",,,,,,,
"毥","U+6BE5","순",,,,,,,
"毦","U+6BE6","이",,,,,,,
"毧","U+6BE7","융",,,,,,,
"毨","U+6BE8","선",,,,,,,
"毩","U+6BE9","국",,,,,,,
"毪","U+6BEA","모",,,,,,,
"毫","U+6BEB","호",,,,,,,
"毬","U+6BEC","구",,,,,,,
"毭","U+6BED","두","낙",,,,,,
"毮","U+6BEE","모",,,,,,,
"毯","U+6BEF","담",,,,,,,
"毰","U+6BF0","배",,,,,,,
"毱","U+6BF1","국",,,,,,,
"毲","U+6BF2","탈",,,,,,,
"毳","U+6BF3","취",,,,,,,
"毴","U+6BF4","비",,,,,,,
"毵","U+6BF5","삼",,,,,,,
"毷","U+6BF7","모",,,,,,,
"毸","U+6BF8","시",,,,,,,
"毹","U+6BF9","유",,,,,,,
"毺","U+6BFA","유",,,,,,,
"毻","U+6BFB","타",,,,,,,
"毼","U+6BFC","갈",,,,,,,
"毽","U+6BFD","건",,,,,,,
"毾","U+6BFE","탑",,,,,,,
"毿","U+6BFF","삼",,,,,,,
"氀","U+6C00","루","누",,,,,,
"氁","U+6C01","모",,,,,,,
"氂","U+6C02","리","이",,,,,,
"氃","U+6C03","동",,,,,,,
"氄","U+6C04","용",,,,,,,
"氅","U+6C05","창",,,,,,,
"氆","U+6C06","방",,,,,,,
"氇","U+6C07","로","노",,,,,,
"氈","U+6C08","전",,,,,,,
"氉","U+6C09","소",,,,,,,
"氊","U+6C0A","전",,,,,,,
"氋","U+6C0B","몽",,,,,,,
"氌","U+6C0C","로","노",,,,,,
"氍","U+6C0D","구",,,,,,,
"氎","U+6C0E","첩",,,,,,,
"氏","U+6C0F","씨",,,,,,,
"氐","U+6C10","저",,,,,,,
"民","U+6C11","민",,,,,,,
"氒","U+6C12","궐",,,,,,,
"氓","U+6C13","맹",,,,,,,
"气","U+6C14","기",,,,,,,
"氕","U+6C15","피",,,,,,,
"氖","U+6C16","내",,,,,,,
"気","U+6C17","기",,,,,,,
"氘","U+6C18","도",,,,,,,
"氙","U+6C19","선",,,,,,,
"氚","U+6C1A","천",,,,,,,
"氛","U+6C1B","분",,,,,,,
"氜","U+6C1C","양",,,,,,,
"氝","U+6C1D","내",,,,,,,
"氞","U+6C1E","병",,,,,,,
"氟","U+6C1F","불",,,,,,,
"氠","U+6C20","신",,,,,,,
"氡","U+6C21","동",,,,,,,
"氢","U+6C22","경",,,,,,,
"氣","U+6C23","기",,,,,,,
"氤","U+6C24","인",,,,,,,
"氥","U+6C25","서",,,,,,,
"氦","U+6C26","양",,,,,,,
"氧","U+6C27","양",,,,,,,
"氨","U+6C28","안",,,,,,,
"氩","U+6C29","아",,,,,,,
"氪","U+6C2A","극",,,,,,,
"氫","U+6C2B","경",,,,,,,
"氬","U+6C2C","아",,,,,,,
"氭","U+6C2D","동",,,,,,,
"氮","U+6C2E","담",,,,,,,
"氯","U+6C2F","록","녹",,,,,,
"氰","U+6C30","청",,,,,,,
"氱","U+6C31","역",,,,,,,
"氲","U+6C32","온",,,,,,,
"氳","U+6C33","온",,,,,,,
"水","U+6C34","수",,,,,,,
"氵","U+6C35","수",,,,,,,
"氶","U+6C36","승",,,,,,,
"氷","U+6C37","빙",,,,,,,
"永","U+6C38","영",,,,,,,
"氹","U+6C39","감",,,,,,,
"氺","U+6C3A","수",,,,,,,
"氻","U+6C3B","륵","늑",,,,,,
"氼","U+6C3C","닉","익",,,,,,
"氽","U+6C3D","탄",,,,,,,
"氾","U+6C3E","범",,,,,,,
"氿","U+6C3F","궤",,,,,,,
"汀","U+6C40","정",,,,,,,
"汁","U+6C41","즙","집","십",,,,,
"求","U+6C42","구",,,,,,,
"汃","U+6C43","팔",,,,,,,
"汄","U+6C44","측",,,,,,,
"汅","U+6C45","면",,,,,,,
"汆","U+6C46","탄",,,,,,,
"汇","U+6C47","회",,,,,,,
"汈","U+6C48","조",,,,,,,
"汉","U+6C49","한",,,,,,,
"汊","U+6C4A","차",,,,,,,
"汋","U+6C4B","작",,,,,,,
"汌","U+6C4C","천",,,,,,,
"汍","U+6C4D","환",,,,,,,
"汎","U+6C4E","범","봉","핍","풍",,,,
"汏","U+6C4F","대",,,,,,,
"汐","U+6C50","석",,,,,,,
"汑","U+6C51","탁",,,,,,,
"汒","U+6C52","망",,,,,,,
"汓","U+6C53","수",,,,,,,
"汔","U+6C54","흘",,,,,,,
"汕","U+6C55","산",,,,,,,
"汖","U+6C56","파",,,,,,,
"汗","U+6C57","한",,,,,,,
"汘","U+6C58","천",,,,,,,
"汙","U+6C59","오",,,,,,,
"汚","U+6C5A","오",,,,,,,
"汛","U+6C5B","신",,,,,,,
"汜","U+6C5C","사",,,,,,,
"汝","U+6C5D","여",,,,,,,
"汞","U+6C5E","홍",,,,,,,
"江","U+6C5F","강",,,,,,,
"池","U+6C60","지",,,,,,,
"污","U+6C61","오",,,,,,,
"汢","U+6C62","토",,,,,,,
"汣","U+6C63","구",,,,,,,
"汤","U+6C64","탕",,,,,,,
"汥","U+6C65","지",,,,,,,
"汦","U+6C66","지",,,,,,,
"汧","U+6C67","견",,,,,,,
"汨","U+6C68","골",,,,,,,
"汩","U+6C69","율",,,,,,,
"汪","U+6C6A","왕",,,,,,,
"汫","U+6C6B","정",,,,,,,
"汬","U+6C6C","정",,,,,,,
"汭","U+6C6D","예",,,,,,,
"汮","U+6C6E","균",,,,,,,
"汯","U+6C6F","굉",,,,,,,
"汰","U+6C70","태",,,,,,,
"汱","U+6C71","견",,,,,,,
"汲","U+6C72","급",,,,,,,
"汳","U+6C73","변",,,,,,,
"汴","U+6C74","변",,,,,,,
"汵","U+6C75","감",,,,,,,
"汶","U+6C76","문",,,,,,,
"汷","U+6C77","유",,,,,,,
"汸","U+6C78","방",,,,,,,
"汹","U+6C79","흉",,,,,,,
"決","U+6C7A","결",,,,,,,
"汻","U+6C7B","오",,,,,,,
"汼","U+6C7C","우",,,,,,,
"汽","U+6C7D","기","흘",,,,,,
"汾","U+6C7E","분",,,,,,,
"汿","U+6C7F","서",,,,,,,
"沀","U+6C80","서",,,,,,,
"沁","U+6C81","심",,,,,,,
"沂","U+6C82","기",,,,,,,
"沃","U+6C83","옥",,,,,,,
"沄","U+6C84","운",,,,,,,
"沅","U+6C85","원",,,,,,,
"沆","U+6C86","항",,,,,,,
"沇","U+6C87","연",,,,,,,
"沈","U+6C88","침","심",,,,,,
"沉","U+6C89","침",,,,,,,
"沊","U+6C8A","탐",,,,,,,
"沋","U+6C8B","우",,,,,,,
"沌","U+6C8C","돈",,,,,,,
"沍","U+6C8D","호",,,,,,,
"沎","U+6C8E","화",,,,,,,
"沏","U+6C8F","절",,,,,,,
"沐","U+6C90","목",,,,,,,
"沑","U+6C91","유",,,,,,,
"沒","U+6C92","몰",,,,,,,
"沓","U+6C93","답",,,,,,,
"沔","U+6C94","면",,,,,,,
"沕","U+6C95","물","매",,,,,,
"沖","U+6C96","충",,,,,,,
"沗","U+6C97","첨",,,,,,,
"沘","U+6C98","비",,,,,,,
"沙","U+6C99","사",,,,,,,
"沚","U+6C9A","지",,,,,,,
"沛","U+6C9B","패",,,,,,,
"沜","U+6C9C","반",,,,,,,
"沝","U+6C9D","추",,,,,,,
"沞","U+6C9E","잡",,,,,,,
"沟","U+6C9F","구",,,,,,,
"沠","U+6CA0","파",,,,,,,
"没","U+6CA1","몰",,,,,,,
"沢","U+6CA2","택",,,,,,,
"沣","U+6CA3","풍",,,,,,,
"沤","U+6CA4","구",,,,,,,
"沥","U+6CA5","력","역",,,,,,
"沦","U+6CA6","륜","윤",,,,,,
"沧","U+6CA7","창",,,,,,,
"沨","U+6CA8","풍","범",,,,,,
"沩","U+6CA9","위","규",,,,,,
"沪","U+6CAA","호",,,,,,,
"沫","U+6CAB","말",,,,,,,
"沬","U+6CAC","매","희",,,,,,
"沭","U+6CAD","술",,,,,,,
"沮","U+6CAE","저",,,,,,,
"沯","U+6CAF","석",,,,,,,
"沰","U+6CB0","탁",,,,,,,
"沱","U+6CB1","타",,,,,,,
"沲","U+6CB2","타",,,,,,,
"河","U+6CB3","하",,,,,,,
"沴","U+6CB4","려",,,,,,,
"沵","U+6CB5","려","여",,,,,,
"沶","U+6CB6","시",,,,,,,
"沷","U+6CB7","발",,,,,,,
"沸","U+6CB8","비","불",,,,,,
"油","U+6CB9","유",,,,,,,
"沺","U+6CBA","전",,,,,,,
"治","U+6CBB","치",,,,,,,
"沼","U+6CBC","소",,,,,,,
"沽","U+6CBD","고",,,,,,,
"沾","U+6CBE","첨","접",,,,,,
"沿","U+6CBF","연",,,,,,,
"泀","U+6CC0","사",,,,,,,
"況","U+6CC1","황",,,,,,,
"泂","U+6CC2","형",,,,,,,
"泃","U+6CC3","구",,,,,,,
"泄","U+6CC4","설","예",,,,,,
"泅","U+6CC5","수",,,,,,,
"泆","U+6CC6","일",,,,,,,
"泇","U+6CC7","가",,,,,,,
"泈","U+6CC8","종",,,,,,,
"泉","U+6CC9","천",,,,,,,
"泊","U+6CCA","박",,,,,,,
"泋","U+6CCB","훼",,,,,,,
"泌","U+6CCC","비",,,,,,,
"泍","U+6CCD","분",,,,,,,
"泎","U+6CCE","색",,,,,,,
"泏","U+6CCF","출",,,,,,,
"泐","U+6CD0","륵","늑",,,,,,
"泑","U+6CD1","유",,,,,,,
"泒","U+6CD2","고",,,,,,,
"泓","U+6CD3","홍",,,,,,,
"泔","U+6CD4","감",,,,,,,
"法","U+6CD5","법",,,,,,,
"泖","U+6CD6","묘","류","유",,,,,
"泗","U+6CD7","사",,,,,,,
"泘","U+6CD8","호",,,,,,,
"泙","U+6CD9","평",,,,,,,
"泚","U+6CDA","체","자",,,,,,
"泛","U+6CDB","범",,,,,,,
"泜","U+6CDC","지","치","저",,,,,
"泝","U+6CDD","소",,,,,,,
"泞","U+6CDE","저",,,,,,,
"泟","U+6CDF","정",,,,,,,
"泠","U+6CE0","령","영",,,,,,
"泡","U+6CE1","포",,,,,,,
"波","U+6CE2","파",,,,,,,
"泣","U+6CE3","읍",,,,,,,
"泤","U+6CE4","사",,,,,,,
"泥","U+6CE5","니","이",,,,,,
"泦","U+6CE6","국",,,,,,,
"泧","U+6CE7","월",,,,,,,
"注","U+6CE8","주",,,,,,,
"泩","U+6CE9","생",,,,,,,
"泪","U+6CEA","루","누",,,,,,
"泫","U+6CEB","현",,,,,,,
"泬","U+6CEC","혈",,,,,,,
"泭","U+6CED","부",,,,,,,
"泮","U+6CEE","반",,,,,,,
"泯","U+6CEF","민",,,,,,,
"泰","U+6CF0","태",,,,,,,
"泱","U+6CF1","앙",,,,,,,
"泲","U+6CF2","제",,,,,,,
"泳","U+6CF3","영",,,,,,,
"泴","U+6CF4","관",,,,,,,
"泵","U+6CF5","빙",,,,,,,
"泶","U+6CF6","학",,,,,,,
"泷","U+6CF7","롱","농","상","랑","낭",,,
"泸","U+6CF8","로","노",,,,,,
"泹","U+6CF9","단",,,,,,,
"泺","U+6CFA","락","낙","박","록","녹",,,
"泻","U+6CFB","사",,,,,,,
"泼","U+6CFC","발",,,,,,,
"泽","U+6CFD","택",,,,,,,
"泾","U+6CFE","경",,,,,,,
"泿","U+6CFF","은",,,,,,,
"洀","U+6D00","주","반",,,,,,
"洁","U+6D01","길",,,,,,,
"洂","U+6D02","액",,,,,,,
"洃","U+6D03","회",,,,,,,
"洄","U+6D04","회",,,,,,,
"洅","U+6D05","재",,,,,,,
"洆","U+6D06","승",,,,,,,
"洇","U+6D07","인",,,,,,,
"洈","U+6D08","위",,,,,,,
"洉","U+6D09","후",,,,,,,
"洊","U+6D0A","천",,,,,,,
"洋","U+6D0B","양",,,,,,,
"洌","U+6D0C","렬","열",,,,,,
"洍","U+6D0D","사",,,,,,,
"洎","U+6D0E","계",,,,,,,
"洏","U+6D0F","이",,,,,,,
"洐","U+6D10","행",,,,,,,
"洑","U+6D11","보","복",,,,,,
"洒","U+6D12","쇄",,,,,,,
"洓","U+6D13","색","치",,,,,,
"洔","U+6D14","지",,,,,,,
"洕","U+6D15","인",,,,,,,
"洖","U+6D16","오",,,,,,,
"洗","U+6D17","세",,,,,,,
"洘","U+6D18","고",,,,,,,
"洙","U+6D19","수",,,,,,,
"洚","U+6D1A","홍","강",,,,,,
"洛","U+6D1B","락","낙",,,,,,
"洜","U+6D1C","락","낙",,,,,,
"洝","U+6D1D","안","알",,,,,,
"洞","U+6D1E","동","통",,,,,,
"洟","U+6D1F","이",,,,,,,
"洠","U+6D20","모",,,,,,,
"洡","U+6D21","뢰","뇌",,,,,,
"洢","U+6D22","이",,,,,,,
"洣","U+6D23","미",,,,,,,
"洤","U+6D24","천",,,,,,,
"津","U+6D25","진",,,,,,,
"洦","U+6D26","백",,,,,,,
"洧","U+6D27","유",,,,,,,
"洨","U+6D28","효",,,,,,,
"洩","U+6D29","설","예",,,,,,
"洪","U+6D2A","홍",,,,,,,
"洫","U+6D2B","혁",,,,,,,
"洬","U+6D2C","속",,,,,,,
"洭","U+6D2D","광",,,,,,,
"洮","U+6D2E","조",,,,,,,
"洯","U+6D2F","결",,,,,,,
"洰","U+6D30","거",,,,,,,
"洱","U+6D31","이",,,,,,,
"洲","U+6D32","주",,,,,,,
"洳","U+6D33","여",,,,,,,
"洴","U+6D34","평",,,,,,,
"洵","U+6D35","순","현",,,,,,
"洶","U+6D36","흉",,,,,,,
"洷","U+6D37","질","치",,,,,,
"洸","U+6D38","광",,,,,,,
"洹","U+6D39","원",,,,,,,
"洺","U+6D3A","명",,,,,,,
"活","U+6D3B","활",,,,,,,
"洼","U+6D3C","와","왜",,,,,,
"洽","U+6D3D","흡",,,,,,,
"派","U+6D3E","파",,,,,,,
"洿","U+6D3F","오","호",,,,,,
"浀","U+6D40","곡",,,,,,,
"流","U+6D41","류","유",,,,,,
"浂","U+6D42","일",,,,,,,
"浃","U+6D43","협",,,,,,,
"浄","U+6D44","정",,,,,,,
"浅","U+6D45","천",,,,,,,
"浆","U+6D46","장",,,,,,,
"浇","U+6D47","요",,,,,,,
"浈","U+6D48","정",,,,,,,
"浉","U+6D49","사",,,,,,,
"浊","U+6D4A","탁",,,,,,,
"测","U+6D4B","측",,,,,,,
"浌","U+6D4C","벌",,,,,,,
"浍","U+6D4D","회",,,,,,,
"济","U+6D4E","제",,,,,,,
"浏","U+6D4F","류","유",,,,,,
"浐","U+6D50","산",,,,,,,
"浑","U+6D51","혼",,,,,,,
"浒","U+6D52","호",,,,,,,
"浓","U+6D53","농",,,,,,,
"浔","U+6D54","심",,,,,,,
"浕","U+6D55","진",,,,,,,
"浖","U+6D56","렬","열",,,,,,
"浗","U+6D57","구",,,,,,,
"浘","U+6D58","미",,,,,,,
"浙","U+6D59","절",,,,,,,
"浚","U+6D5A","준",,,,,,,
"浛","U+6D5B","함",,,,,,,
"浜","U+6D5C","빈",,,,,,,
"浝","U+6D5D","방",,,,,,,
"浞","U+6D5E","착",,,,,,,
"浟","U+6D5F","유",,,,,,,
"浠","U+6D60","희",,,,,,,
"浡","U+6D61","발",,,,,,,
"浢","U+6D62","두",,,,,,,
"浣","U+6D63","완",,,,,,,
"浤","U+6D64","굉",,,,,,,
"浥","U+6D65","읍","압","업",,,,,
"浦","U+6D66","포",,,,,,,
"浧","U+6D67","영",,,,,,,
"浨","U+6D68","람","남",,,,,,
"浩","U+6D69","호",,,,,,,
"浪","U+6D6A","랑","낭",,,,,,
"浫","U+6D6B","한",,,,,,,
"浬","U+6D6C","리","이",,,,,,
"浭","U+6D6D","경",,,,,,,
"浮","U+6D6E","부",,,,,,,
"浯","U+6D6F","오",,,,,,,
"浰","U+6D70","리","이",,,,,,
"浱","U+6D71","순",,,,,,,
"浲","U+6D72","봉",,,,,,,
"浳","U+6D73","익",,,,,,,
"浴","U+6D74","욕",,,,,,,
"浵","U+6D75","동",,,,,,,
"浶","U+6D76","로","노",,,,,,
"海","U+6D77","해",,,,,,,
"浸","U+6D78","침",,,,,,,
"浹","U+6D79","협",,,,,,,
"浺","U+6D7A","충",,,,,,,
"浻","U+6D7B","형",,,,,,,
"浼","U+6D7C","매",,,,,,,
"浽","U+6D7D","수",,,,,,,
"浾","U+6D7E","적",,,,,,,
"浿","U+6D7F","패",,,,,,,
"涀","U+6D80","견",,,,,,,
"涁","U+6D81","삼",,,,,,,
"涂","U+6D82","도","차",,,,,,
"涃","U+6D83","곤",,,,,,,
"涄","U+6D84","빙",,,,,,,
"涅","U+6D85","열",,,,,,,
"涆","U+6D86","간",,,,,,,
"涇","U+6D87","경",,,,,,"활",
"消","U+6D88","소",,,,,,,
"涉","U+6D89","섭",,,,,,,
"涊","U+6D8A","년","연",,,,,,
"涋","U+6D8B","독",,,,,,,
"涌","U+6D8C","용",,,,,,,
"涍","U+6D8D","효",,,,,,,
"涎","U+6D8E","연",,,,,,,
"涏","U+6D8F","정","전",,,,,,
"涐","U+6D90","아",,,,,,,
"涑","U+6D91","속","수",,,,,,
"涒","U+6D92","군",,,,,,,
"涓","U+6D93","연",,,,,,,
"涔","U+6D94","잠",,,,,,,
"涕","U+6D95","체",,,,,,,
"涖","U+6D96","리","이",,,,,,
"涗","U+6D97","세",,,,,,,
"涘","U+6D98","사",,,,,,,
"涙","U+6D99","루","누",,,,,,
"涚","U+6D9A","세",,,,,,,
"涛","U+6D9B","도",,,,,,,
"涜","U+6D9C","독",,,,,,,
"涝","U+6D9D","로","노",,,,,,
"涞","U+6D9E","래","내",,,,,,
"涟","U+6D9F","련","연",,,,,,
"涠","U+6DA0","위",,,,,,,
"涡","U+6DA1","와",,,,,,,
"涢","U+6DA2","운",,,,,,,
"涣","U+6DA3","환",,,,,,,
"涤","U+6DA4","조",,,,,,,
"涥","U+6DA5","형",,,,,,,
"润","U+6DA6","윤",,,,,,,
"涧","U+6DA7","간",,,,,,,
"涨","U+6DA8","창",,,,,,,
"涩","U+6DA9","삽",,,,,,,
"涪","U+6DAA","부",,,,,,,
"涫","U+6DAB","관",,,,,,,
"涬","U+6DAC","행",,,,,,,
"涭","U+6DAD","수",,,,,,,
"涮","U+6DAE","쇄",,,,,,,
